batchName,year,umId,majorTypeId,batchId,courseValue,univName,enrollId,courseGroup,lowScore,zbType,lowRank
本科普通批,2022,10183604,3,2,1,吉林大学(04),36606563,物理,632,1,4629
本科普通批,2022,10183605,3,2,2,吉林大学(05),36606564,"物理,化学",622,1,5775
本科普通批,2022,10183606,3,2,1,吉林大学(06),36606565,"物理,化学,生物",622,1,5775
本科普通批,2022,10183607,3,2,1,吉林大学(07),36606566,化学,627,1,5172
本科普通批,2022,10183608,3,2,2,吉林大学(08),36606567,"化学,生物",622,1,5775
本科普通批,2022,10183609,3,2,1,吉林大学(09),36606568,"政治,历史",621,1,5887
本科普通批,2022,10183610,3,2,1,吉林大学(10),36606569,"地理,历史",627,1,5172
本科普通批,2022,10145601,3,2,0,东北大学(01),36606500,无限制,608,1,7567
本科普通批,2022,10145602,3,2,1,东北大学(02),36606501,物理,624,1,5530
本科普通批,2022,10145603,3,2,1,东北大学(03),36606502,"物理,化学,生物",613,1,6912
本科普通批,2022,10145604,3,2,1,东北大学(04),36606503,"物理,历史,地理",608,1,7567
本科普通批,2022,10145605,3,2,1,东北大学(05),36606504,"政治,历史",611,1,7169
本科普通批,2022,10141601,3,2,1,大连理工大学(01),36606496,物理,633,1,4511
本科普通批,2022,10141602,3,2,1,大连理工大学(02),36606497,化学,625,1,5408
本科普通批,2022,10141603,3,2,1,大连理工大学(03),36606498,物理,612,1,7030
本科普通批,2022,10141604,3,2,1,大连理工大学(04),36606499,物理,621,1,5887
本科普通批,2022,10056601,3,2,1,天津大学(01),36606315,物理,649,1,2850
本科普通批,2022,10056602,3,2,2,天津大学(02),36606316,"物理,化学",642,1,3533
本科普通批,2022,10056603,3,2,1,天津大学(03),36606317,"物理,化学,生物",655,1,2297
本科普通批,2022,10056604,3,2,1,天津大学(04),36606318,"物理,历史,地理",655,1,2297
本科普通批,2022,10056605,3,2,1,天津大学(05),36606319,"物理,历史,地理",649,1,2850
本科普通批,2022,10055601,3,2,0,南开大学(01),36606310,无限制,656,1,2202
本科普通批,2022,10055602,3,2,0,南开大学(02),36606311,无限制,664,1,1587
本科普通批,2022,10055603,3,2,1,南开大学(03),36606312,物理,659,1,1944
本科普通批,2022,10055604,3,2,1,南开大学(04),36606313,"物理,化学,生物",662,1,1723
本科普通批,2022,10055605,3,2,1,南开大学(05),36606314,"地理,历史",656,1,2202
本科普通批,2022,10052601,3,2,0,中央民族大学(01),36606118,无限制,621,1,5887
本科普通批,2022,10052602,3,2,1,中央民族大学(02),36606119,物理,616,1,6509
本科普通批,2022,10052603,3,2,1,中央民族大学(03),36606120,"物理,化学,生物",617,1,6380
本科普通批,2022,10052604,3,2,1,中央民族大学(04),36606121,历史,627,1,5172
本科普通批,2022,10052605,3,2,1,中央民族大学(05),36606122,"物理,化学,生物",602,1,8398
本科提前批A段,2022,10027610,3,1,1,北京师范大学(10),36607437,政治,661,1,1797
本科普通批,2022,10027601,3,2,0,北京师范大学(01),36606167,无限制,659,1,1944
本科普通批,2022,10027602,3,2,0,北京师范大学(02),36606168,无限制,655,1,2297
本科普通批,2022,10027603,3,2,1,北京师范大学(03),36606169,物理,662,1,1723
本科普通批,2022,10027604,3,2,1,北京师范大学(04),36606170,"物理,化学",664,1,1587
